01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Itália,Vestuário e calçado,,,,,78.20
1996,Letónia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,71.08
1996,Letónia,Bebidas alcoólicas e tabaco,,,,,28.26
1996,Letónia,Bens e serviços diversos,,,,,49.89
1996,Letónia,Comunicações,,,,,89.42
1996,Letónia,Educação,,,,,31.04
1996,Letónia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,27.76
1996,Letónia,"Lazer, recreação e cultura",,,,,68.68
1996,Letónia,Produtos alimentares e bebidas não alcoólicas,,,,,46.24
1996,Letónia,Restaurantes e hotéis,,,,,43.41
1996,Letónia,Saúde,,,,,39.45
1996,Letónia,Total,,,,,46.72
1996,Letónia,Transportes,,,,,43.79
1996,Letónia,Vestuário e calçado,,,,,74.84
1996,Lituânia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,98.15
1996,Lituânia,Bebidas alcoólicas e tabaco,,,,,42.81
1996,Lituânia,Bens e serviços diversos,,,,,62.68
1996,Lituânia,Comunicações,,,,,56.40
1996,Lituânia,Educação,,,,,43.29
1996,Lituânia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,29.07
1996,Lituânia,"Lazer, recreação e cultura",,,,,90.57
1996,Lituânia,Produtos alimentares e bebidas não alcoólicas,,,,,60.48
1996,Lituânia,Restaurantes e hotéis,,,,,50.03
1996,Lituânia,Saúde,,,,,47.25
1996,Lituânia,Total,,,,,57.61
1996,Lituânia,Transportes,,,,,49.37
1996,Lituânia,Vestuário e calçado,,,,,128.98
1996,Luxemburgo,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,72.62
1996,Luxemburgo,Bebidas alcoólicas e tabaco,,,,,46.99
1996,Luxemburgo,Bens e serviços diversos,,,,,68.06
1996,Luxemburgo,Comunicações,,,,,167.73
1996,Luxemburgo,Educação,,,,,55.79
1996,Luxemburgo,"Habitação, água, electricidade, gás e outros combustíveis",,,,,58.60
1996,Luxemburgo,"Lazer, recreação e cultura",,,,,74.86
1996,Luxemburgo,Produtos alimentares e bebidas não alcoólicas,,,,,64.37
1996,Luxemburgo,Restaurantes e hotéis,,,,,58.21
1996,Luxemburgo,Saúde,,,,,75.41
1996,Luxemburgo,Total,,,,,65.63
1996,Luxemburgo,Transportes,,,,,69.14
1996,Luxemburgo,Vestuário e calçado,,,,,84.91
1996,Malta,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,79.10
1996,Malta,Bebidas alcoólicas e tabaco,,,,,36.61
1996,Malta,Bens e serviços diversos,,,,,63.38
1996,Malta,Comunicações,,,,,106.88
1996,Malta,Educação,,,,,38.70
1996,Malta,"Habitação, água, electricidade, gás e outros combustíveis",,,,,57.08
1996,Malta,"Lazer, recreação e cultura",,,,,82.24
1996,Malta,Produtos alimentares e bebidas não alcoólicas,,,,,58.76
1996,Malta,Restaurantes e hotéis,,,,,52.00
1996,Malta,Saúde,,,,,54.57
1996,Malta,Total,,,,,63.69
1996,Malta,Transportes,,,,,66.11
1996,Malta,Vestuário e calçado,,,,,108.34
1996,Países Baixos,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,79.24
1996,Países Baixos,Bebidas alcoólicas e tabaco,,,,,46.83
1996,Países Baixos,Bens e serviços diversos,,,,,62.57
1996,Países Baixos,Comunicações,,,,,137.64
1996,Países Baixos,Educação,,,,,74.56
1996,Países Baixos,"Habitação, água, electricidade, gás e outros combustíveis",,,,,54.52
1996,Países Baixos,"Lazer, recreação e cultura",,,,,89.70
1996,Países Baixos,Produtos alimentares e bebidas não alcoólicas,,,,,74.64
